"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
121;"Female";21;1;10;0;"< 1 Year";"Yes";28550;152;139;1
122;"Male";25;1;37;0;"< 1 Year";"Yes";32188;152;249;0
123;"Male";45;1;28;0;"1-2 Year";"Yes";31802;13;181;1
124;"Female";21;1;37;0;"< 1 Year";"Yes";2630;152;14;0
125;"Male";47;1;33;0;"1-2 Year";"Yes";48310;124;123;0
126;"Female";28;1;15;1;"< 1 Year";"No";2630;152;10;0
127;"Male";41;1;20;0;"1-2 Year";"Yes";2630;26;145;0
128;"Female";26;1;8;1;"< 1 Year";"No";36846;152;299;0
129;"Male";60;1;18;0;"> 2 Years";"Yes";31643;124;182;1
130;"Male";42;0;41;0;"1-2 Year";"No";28662;12;12;0
131;"Female";30;1;28;1;"< 1 Year";"No";57844;152;185;0
132;"Female";20;1;28;0;"< 1 Year";"Yes";50638;160;53;0
133;"Male";54;1;41;0;"1-2 Year";"Yes";41298;26;102;1
134;"Male";73;1;8;0;"< 1 Year";"Yes";51990;152;135;0
135;"Male";54;1;28;1;"1-2 Year";"No";40945;124;137;0
136;"Male";36;1;41;0;"1-2 Year";"Yes";36674;26;185;0
137;"Female";26;1;30;1;"< 1 Year";"No";23293;122;59;0
138;"Female";22;1;41;1;"< 1 Year";"No";34541;152;118;0
139;"Male";23;1;29;1;"< 1 Year";"No";37365;152;108;0
140;"Male";54;1;28;0;"1-2 Year";"Yes";49551;26;696;1
141;"Female";85;1;6;1;"< 1 Year";"No";32615;152;12;0
142;"Male";59;1;20;1;"1-2 Year";"No";2630;26;126;0
143;"Male";24;1;29;1;"1-2 Year";"Yes";26814;163;103;0
144;"Female";53;1;28;0;"1-2 Year";"Yes";32140;26;245;0
145;"Male";24;1;13;0;"< 1 Year";"Yes";33036;160;10;0
146;"Female";29;1;46;1;"< 1 Year";"No";22257;152;214;0
147;"Female";47;1;31;1;"1-2 Year";"No";2630;125;258;0
148;"Male";21;1;28;0;"< 1 Year";"Yes";38234;152;247;0
149;"Female";24;1;8;1;"< 1 Year";"No";36264;152;49;0
150;"Female";25;1;14;1;"< 1 Year";"No";24319;152;124;0
151;"Male";44;1;28;0;"1-2 Year";"Yes";2630;26;17;0
152;"Male";33;1;41;0;"< 1 Year";"Yes";2630;152;228;1
153;"Female";44;1;22;0;"1-2 Year";"Yes";29227;124;248;0
154;"Male";25;1;4;0;"< 1 Year";"Yes";2630;156;53;0
155;"Male";36;1;18;1;"1-2 Year";"No";21633;152;211;0
156;"Male";69;1;23;0;"1-2 Year";"Yes";48259;26;22;0
157;"Female";36;1;28;1;"1-2 Year";"No";34469;26;264;0
158;"Female";23;1;8;1;"< 1 Year";"No";43928;151;88;0
159;"Male";49;1;28;0;"> 2 Years";"Yes";44001;26;139;0
160;"Male";24;1;11;1;"1-2 Year";"No";2630;124;118;0
161;"Male";42;1;28;0;"1-2 Year";"Yes";37605;26;279;0
162;"Male";40;1;46;0;"1-2 Year";"Yes";43372;131;79;0
163;"Male";37;1;12;1;"1-2 Year";"No";32021;152;82;0
164;"Female";41;1;39;0;"1-2 Year";"Yes";32130;124;249;0
165;"Male";28;1;24;0;"< 1 Year";"Yes";27130;152;208;0
166;"Female";22;0;16;0;"< 1 Year";"No";35082;160;171;0
167;"Female";32;1;46;0;"1-2 Year";"Yes";23258;156;248;1
168;"Male";47;1;3;0;"1-2 Year";"Yes";2630;124;265;1
169;"Female";45;1;19;0;"1-2 Year";"Yes";32419;31;116;1
170;"Male";35;1;11;1;"1-2 Year";"No";40590;152;13;0
171;"Female";25;1;36;1;"< 1 Year";"No";31447;152;283;0
172;"Male";42;1;47;1;"1-2 Year";"No";36960;26;285;0
173;"Male";53;1;28;0;"1-2 Year";"Yes";41520;124;61;0
174;"Male";24;1;28;0;"< 1 Year";"Yes";48363;163;43;0
175;"Male";39;1;46;0;"1-2 Year";"Yes";34738;124;36;1
176;"Female";49;1;28;1;"1-2 Year";"No";37400;55;139;0
177;"Female";49;1;35;0;"1-2 Year";"Yes";26938;26;194;1
178;"Male";40;1;28;0;"1-2 Year";"No";37964;124;236;0
179;"Male";63;1;28;0;"> 2 Years";"Yes";31184;48;156;0
180;"Male";57;1;41;0;"1-2 Year";"Yes";32351;124;129;1
181;"Male";55;1;28;0;"> 2 Years";"Yes";52712;26;131;1
182;"Male";38;1;28;0;"1-2 Year";"Yes";53029;124;129;1
183;"Female";38;1;12;0;"1-2 Year";"Yes";28479;154;159;1
184;"Female";58;1;45;0;"1-2 Year";"Yes";23777;124;50;0
185;"Female";28;1;37;1;"< 1 Year";"No";35569;152;572;0
186;"Male";23;1;4;1;"< 1 Year";"No";2630;160;248;0
187;"Male";44;1;6;0;"1-2 Year";"Yes";25810;124;151;1
188;"Male";31;1;17;0;"< 1 Year";"Yes";27213;152;245;1
189;"Male";96;1;47;0;"1-2 Year";"Yes";33467;26;111;1
190;"Female";36;1;14;0;"1-2 Year";"Yes";24527;124;231;1
191;"Female";42;0;41;0;"1-2 Year";"No";40740;26;159;0
192;"Female";67;1;41;0;"1-2 Year";"Yes";49773;26;185;1
193;"Male";28;1;46;0;"< 1 Year";"Yes";46994;152;280;1
194;"Female";21;1;3;1;"< 1 Year";"No";31235;160;235;0
195;"Female";26;1;29;1;"1-2 Year";"No";61466;154;146;0
196;"Female";39;1;46;1;"1-2 Year";"No";31439;160;66;0
197;"Female";62;1;8;0;"> 2 Years";"Yes";23997;156;108;0
198;"Male";42;1;28;0;"1-2 Year";"Yes";2630;26;76;1
199;"Female";41;1;28;0;"1-2 Year";"Yes";38052;26;237;1
200;"Male";36;1;28;0;"1-2 Year";"Yes";34455;31;109;1
201;"Male";52;1;20;1;"1-2 Year";"No";2630;26;37;0
202;"Female";66;1;28;0;"1-2 Year";"Yes";91407;122;257;0
203;"Male";44;1;43;0;"1-2 Year";"Yes";29442;124;37;0
204;"Female";134;1;28;0;"> 2 Years";"Yes";39285;26;31;1
205;"Female";70;1;28;1;"1-2 Year";"No";33026;25;168;0
206;"Male";53;1;47;0;"1-2 Year";"Yes";27545;16;65;0
207;"Female";31;1;45;0;"1-2 Year";"Yes";2630;156;185;1
208;"Male";24;1;36;1;"< 1 Year";"No";22277;152;112;0
209;"Female";66;1;46;0;"1-2 Year";"Yes";32822;11;256;0
210;"Male";34;1;28;0;"1-2 Year";"Yes";55240;26;135;0
211;"Male";42;1;28;0;"1-2 Year";"Yes";56014;124;128;0
212;"Male";69;1;28;0;"1-2 Year";"Yes";26900;26;261;1
213;"Female";34;1;15;1;"1-2 Year";"No";33542;152;299;0
214;"Male";25;1;28;1;"< 1 Year";"No";42057;124;15;0
215;"Female";63;1;28;0;"> 2 Years";"Yes";44480;26;267;0
216;"Male";67;1;28;0;"> 2 Years";"Yes";51716;124;10;0
217;"Female";53;1;8;0;"1-2 Year";"Yes";63971;26;192;0
218;"Female";39;1;11;1;"1-2 Year";"No";35712;124;237;0
219;"Female";30;1;41;1;"< 1 Year";"No";26923;152;14;0
220;"Male";49;1;28;0;"1-2 Year";"Yes";42135;124;76;1
221;"Male";51;1;6;0;"1-2 Year";"Yes";17000;26;210;0
222;"Male";49;1;8;0;"1-2 Year";"Yes";45835;7;199;0
223;"Female";21;1;27;0;"< 1 Year";"Yes";37882;152;12;1
224;"Male";49;1;8;1;"1-2 Year";"No";39820;124;244;0
225;"Male";31;1;29;1;"< 1 Year";"No";2630;152;46;0
226;"Male";69;1;39;0;"1-2 Year";"Yes";31272;156;271;0
227;"Male";60;1;28;1;"1-2 Year";"No";40624;26;97;0
228;"Male";66;1;8;0;"1-2 Year";"Yes";2630;7;261;0
229;"Female";23;1;37;1;"< 1 Year";"No";34257;152;260;0
230;"Male";37;1;46;0;"1-2 Year";"Yes";2630;157;257;1
231;"Male";35;1;11;0;"1-2 Year";"Yes";2630;157;48;1
232;"Male";28;1;33;0;"1-2 Year";"Yes";26882;155;297;1
233;"Male";31;1;21;0;"< 1 Year";"Yes";27126;124;105;1
234;"Female";41;1;14;0;"1-2 Year";"Yes";29854;26;175;1
235;"Male";73;1;28;0;"1-2 Year";"Yes";2630;111;59;0
236;"Female";36;1;8;0;"1-2 Year";"Yes";33388;152;32;0
237;"Male";25;1;28;0;"< 1 Year";"Yes";45395;152;251;0
238;"Male";57;1;15;0;"1-2 Year";"Yes";2630;26;2465;1
239;"Female";22;1;47;1;"< 1 Year";"Yes";39704;26;109;0
240;"Female";25;1;29;1;"< 1 Year";"No";26248;152;48;0
241;"Female";52;1;11;0;"1-2 Year";"Yes";38775;26;150;0
242;"Female";28;1;8;1;"< 1 Year";"No";36305;152;225;0
243;"Female";24;1;35;1;"< 1 Year";"No";33422;152;230;0
244;"Female";119;1;28;0;"1-2 Year";"Yes";28490;26;70;0
245;"Male";36;1;10;0;"1-2 Year";"Yes";26986;124;299;1
246;"Female";77;1;45;0;"1-2 Year";"Yes";31339;124;141;0
247;"Male";43;0;48;0;"1-2 Year";"No";2630;31;178;0
248;"Female";44;1;41;0;"1-2 Year";"Yes";42572;156;222;1
249;"Male";40;1;46;0;"1-2 Year";"Yes";35145;93;123;0
250;"Male";57;1;28;0;"> 2 Years";"Yes";44170;30;158;1
251;"Male";22;1;8;0;"< 1 Year";"Yes";59613;160;62;0
252;"Male";49;1;8;0;"1-2 Year";"Yes";34131;30;131;1
253;"Female";58;1;28;0;"1-2 Year";"Yes";25813;155;258;0
254;"Male";53;1;28;0;"> 2 Years";"Yes";50019;124;156;0
255;"Male";53;1;21;0;"1-2 Year";"Yes";29957;124;2760;1
256;"Female";34;1;39;0;"1-2 Year";"Yes";28728;156;3077;1
257;"Male";69;0;28;0;"> 2 Years";"No";28848;26;268;0
258;"Male";29;1;28;1;"< 1 Year";"No";2630;152;2112;0
259;"Male";26;1;47;1;"< 1 Year";"No";32429;152;33;0
260;"Male";36;1;28;0;"1-2 Year";"Yes";35199;124;138;0
261;"Female";38;1;28;0;"1-2 Year";"Yes";31538;154;279;1
262;"Female";28;1;28;0;"< 1 Year";"Yes";37964;152;291;0
263;"Male";59;1;3;0;"1-2 Year";"Yes";24987;157;24;1
264;"Male";20;1;3;1;"< 1 Year";"No";2630;160;75;0
265;"Female";74;1;47;1;"1-2 Year";"No";34215;16;52;0
266;"Male";23;1;41;1;"< 1 Year";"No";27046;152;101;0
267;"Female";67;1;28;1;"1-2 Year";"No";29684;124;161;0
268;"Male";59;1;28;0;"1-2 Year";"Yes";34633;26;117;1
269;"Male";60;1;28;1;"1-2 Year";"No";31149;26;36;0
270;"Female";21;0;8;0;"< 1 Year";"No";33739;152;129;0
271;"Male";36;1;28;0;"1-2 Year";"Yes";49701;26;49;0
272;"Female";34;0;35;0;"1-2 Year";"No";29796;124;33;0
273;"Male";45;1;28;0;"1-2 Year";"Yes";39959;26;2788;1
274;"Female";35;1;30;0;"1-2 Year";"Yes";2630;157;4148;1
275;"Female";43;1;41;0;"1-2 Year";"Yes";33996;124;85;1
276;"Male";45;1;28;0;"1-2 Year";"Yes";36852;26;43;1
277;"Male";31;1;28;0;"1-2 Year";"Yes";48526;124;81;1
278;"Male";67;1;36;0;"1-2 Year";"Yes";31567;26;220;0
279;"Male";65;1;28;0;"1-2 Year";"Yes";34251;124;118;1
280;"Female";32;1;3;0;"1-2 Year";"Yes";37656;163;4964;1
281;"Female";36;1;3;0;"1-2 Year";"Yes";28804;30;280;0
282;"Female";24;1;43;1;"< 1 Year";"No";26851;152;37;0
283;"Female";78;1;28;0;"1-2 Year";"Yes";38668;122;278;0
284;"Female";67;1;45;0;"1-2 Year";"Yes";43204;152;2457;0
285;"Male";68;1;35;0;"> 2 Years";"Yes";34388;26;1930;1
286;"Male";28;1;36;0;"< 1 Year";"Yes";2630;156;189;0
287;"Male";48;1;28;0;"> 2 Years";"Yes";47383;124;16;0
288;"Male";82;1;30;0;"< 1 Year";"Yes";23518;152;288;1
289;"Male";34;1;28;0;"1-2 Year";"Yes";41204;122;91;1
290;"Female";34;1;25;1;"1-2 Year";"No";33058;26;231;0
291;"Male";43;1;51;0;"1-2 Year";"Yes";2630;157;285;1
292;"Male";97;1;28;0;"1-2 Year";"Yes";44279;42;153;0
293;"Female";29;1;27;1;"< 1 Year";"No";19575;152;74;0
294;"Female";23;1;13;1;"< 1 Year";"No";28101;160;278;0
295;"Male";28;1;21;0;"1-2 Year";"Yes";31074;156;117;0
296;"Male";53;1;28;0;"> 2 Years";"Yes";46807;26;263;1
297;"Male";22;1;8;1;"< 1 Year";"No";27372;160;63;0
298;"Male";48;1;28;0;"1-2 Year";"Yes";30273;26;40;1
299;"Female";47;1;28;0;"> 2 Years";"Yes";39120;124;108;0
300;"Female";22;1;41;1;"< 1 Year";"No";23183;152;36;0
301;"Male";56;1;46;0;"1-2 Year";"Yes";2630;26;163;1
302;"Female";37;1;28;0;"1-2 Year";"Yes";57878;26;136;0
303;"Female";49;1;33;0;"1-2 Year";"Yes";37423;124;254;0
304;"Female";21;1;41;1;"< 1 Year";"No";34142;152;95;0
305;"Male";34;1;3;1;"1-2 Year";"No";34323;124;192;0
306;"Female";40;1;15;0;"1-2 Year";"Yes";35183;14;211;1
307;"Male";23;1;8;1;"< 1 Year";"No";38634;152;40;0
308;"Female";57;1;28;0;"1-2 Year";"Yes";43532;26;187;1
309;"Male";46;1;46;0;"1-2 Year";"No";32624;26;280;0
310;"Male";42;1;45;0;"> 2 Years";"Yes";32065;26;15;1
311;"Male";37;1;14;1;"1-2 Year";"No";40383;152;10;0
312;"Male";24;1;30;0;"< 1 Year";"Yes";2630;152;193;1
313;"Female";78;1;28;0;"< 1 Year";"Yes";55369;152;67;0
314;"Male";57;1;28;0;"1-2 Year";"Yes";44326;124;68;1
315;"Male";62;1;28;0;"> 2 Years";"Yes";71406;13;154;0
316;"Male";26;1;30;1;"< 1 Year";"No";27863;151;47;0
317;"Male";32;1;15;0;"< 1 Year";"Yes";2630;156;177;1
318;"Female";30;1;28;1;"1-2 Year";"No";108034;26;135;0
319;"Male";23;1;23;1;"< 1 Year";"No";35775;152;299;0
320;"Male";92;1;29;1;"1-2 Year";"No";35777;26;220;0
321;"Female";25;1;27;0;"< 1 Year";"No";23489;152;650;0
322;"Male";73;1;33;0;"1-2 Year";"Yes";35604;124;254;0
323;"Female";24;1;15;0;"< 1 Year";"Yes";28555;152;236;1
324;"Male";46;1;0;1;"1-2 Year";"No";2630;60;154;0
325;"Female";25;1;13;0;"< 1 Year";"No";2630;152;273;0
326;"Male";64;1;48;0;"> 2 Years";"Yes";2630;26;220;0
327;"Male";51;0;28;0;"1-2 Year";"No";31881;124;44;0
328;"Female";45;1;15;0;"1-2 Year";"Yes";38467;152;275;1
329;"Male";25;1;21;1;"< 1 Year";"No";26560;152;29;0
330;"Female";75;1;28;0;"> 2 Years";"Yes";38390;122;109;0
331;"Female";21;1;41;0;"1-2 Year";"Yes";28992;163;1768;0
332;"Female";26;1;41;1;"< 1 Year";"No";27193;152;264;0
333;"Female";24;1;36;0;"< 1 Year";"Yes";38065;152;145;0
334;"Female";23;1;39;1;"< 1 Year";"No";31940;152;212;0
335;"Female";26;1;11;1;"< 1 Year";"No";29941;152;258;0
336;"Male";40;1;50;1;"1-2 Year";"No";27546;124;125;0
337;"Female";46;1;21;0;"1-2 Year";"Yes";2630;156;156;0
338;"Female";20;1;13;0;"< 1 Year";"Yes";31405;160;294;1
339;"Female";31;1;28;0;"1-2 Year";"Yes";30646;124;2646;1
340;"Male";43;1;8;0;"1-2 Year";"Yes";32962;124;227;0
341;"Female";42;1;8;0;"1-2 Year";"Yes";30976;124;189;0
342;"Female";24;1;8;1;"< 1 Year";"No";26547;152;174;0
343;"Male";64;1;17;1;"1-2 Year";"No";52048;124;202;0
344;"Male";29;1;28;1;"1-2 Year";"No";46128;124;272;0
345;"Female";24;1;7;0;"< 1 Year";"Yes";39685;152;53;1
346;"Male";48;1;4;0;"1-2 Year";"Yes";32992;124;85;1
347;"Male";25;1;29;0;"1-2 Year";"Yes";2630;163;274;1
348;"Female";25;1;8;0;"< 1 Year";"Yes";48039;26;46;1
349;"Male";21;1;29;1;"< 1 Year";"No";37294;152;18;0
350;"Male";25;1;11;0;"< 1 Year";"Yes";19800;152;111;1
351;"Female";22;1;34;0;"< 1 Year";"Yes";31349;152;46;1
352;"Male";67;1;28;1;"1-2 Year";"No";2630;26;1485;0
353;"Male";37;1;36;1;"1-2 Year";"No";27769;26;34;0
354;"Male";40;1;8;0;"1-2 Year";"Yes";46137;124;154;0
355;"Male";79;1;41;1;"< 1 Year";"No";47597;152;30;0
356;"Male";50;1;28;0;"1-2 Year";"Yes";29997;26;3108;1
357;"Female";46;1;28;1;"1-2 Year";"No";48070;26;71;0
358;"Female";46;1;28;0;"1-2 Year";"Yes";38001;124;98;1
359;"Male";62;1;28;0;"1-2 Year";"Yes";44978;26;52;1
360;"Female";24;1;46;1;"< 1 Year";"No";20336;26;293;0
361;"Female";43;1;28;0;"1-2 Year";"Yes";61019;26;252;0
362;"Female";22;1;28;1;"< 1 Year";"No";42231;152;93;0
363;"Female";24;1;37;0;"< 1 Year";"Yes";25201;152;50;1
364;"Male";21;1;8;1;"< 1 Year";"No";50418;160;4794;0
365;"Male";22;1;46;1;"< 1 Year";"No";25517;152;96;0
366;"Male";80;1;14;0;"1-2 Year";"Yes";22754;122;157;0
367;"Male";32;1;36;0;"1-2 Year";"Yes";31128;31;96;1
368;"Female";69;1;28;0;"1-2 Year";"Yes";56381;26;52;1
369;"Male";32;1;23;0;"< 1 Year";"Yes";34694;153;212;1
370;"Female";41;1;32;0;"1-2 Year";"Yes";2630;152;180;0
371;"Female";28;1;12;1;"< 1 Year";"No";30878;26;268;0
372;"Male";74;1;50;0;"< 1 Year";"Yes";37582;160;25;0
373;"Male";79;1;28;0;"> 2 Years";"Yes";43232;26;75;1
374;"Male";70;1;28;0;"1-2 Year";"Yes";33794;26;2196;1
375;"Female";21;1;8;1;"< 1 Year";"No";33212;160;293;0
376;"Female";66;0;50;0;"1-2 Year";"No";30003;124;98;0
377;"Male";22;1;27;0;"< 1 Year";"Yes";22331;26;299;0
378;"Female";24;1;12;0;"< 1 Year";"Yes";2630;160;265;0
379;"Male";58;1;8;0;"1-2 Year";"Yes";46408;7;16;0
380;"Male";31;1;28;0;"< 1 Year";"Yes";37210;124;1751;1
381;"Female";24;1;9;0;"< 1 Year";"Yes";31227;152;95;1
382;"Male";45;1;41;0;"1-2 Year";"Yes";37935;26;19;0
383;"Male";28;1;18;1;"< 1 Year";"No";25666;152;259;0
384;"Female";62;1;36;0;"1-2 Year";"No";2630;26;2583;0
385;"Male";23;1;32;0;"< 1 Year";"No";12843;152;252;0
386;"Female";24;1;11;1;"< 1 Year";"No";35502;152;127;0
387;"Female";42;1;9;0;"1-2 Year";"Yes";36429;124;1442;1
388;"Female";25;1;28;0;"< 1 Year";"Yes";37635;124;110;0
389;"Female";28;1;28;1;"< 1 Year";"No";34833;152;187;0
390;"Female";39;1;8;0;"1-2 Year";"Yes";27679;124;281;1
391;"Female";25;1;8;1;"< 1 Year";"No";39503;152;197;0
